season,match_id,venue,city,innings_id,fullName,overs,maidens,conceded,wickets,dots,foursConceded,sixesConceded,wides,noballs
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,Fazalhaq Farooqi,4,0,41,2,11,7,0,0,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,Washington Sundar,3,0,32,0,5,1,3,0,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,T Natarajan,3,0,23,2,7,4,0,0,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,Adil Rashid,4,0,33,0,6,1,2,0,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,1,Umran Malik,3,0,32,1,4,4,1,1,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,Trent Boult,4,1,21,2,15,2,1,0,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,KM Asif,3,0,15,0,9,1,0,1,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,Jason Holder,3,0,16,1,10,1,1,0,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,Ravichandran Ashwin,4,0,27,1,10,1,1,2,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,Yuzvendra Chahal,4,0,17,4,11,0,0,0,0
2023,1359478,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2,Navdeep Saini,2,0,34,0,3,3,2,0,3
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,Mohammed Siraj,4,0,21,1,16,2,0,6,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,Reece Topley,2,0,14,1,7,3,0,0,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,Akash Deep,3,0,29,1,7,2,2,0,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,Harshal Patel,4,0,43,1,6,3,2,1,1
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,Karn Sharma,4,0,32,2,7,1,2,1,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,Michael Bracewell,2,0,16,1,6,3,0,0,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,Glenn Maxwell,1,0,16,0,0,1,1,1,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,2,Jason Behrendorff,3,0,37,0,6,3,3,0,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,2,Arshad Khan,2.2,0,28,1,7,2,2,4,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,2,Jofra Archer,4,0,33,0,10,2,2,0,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,2,Piyush Chawla,4,0,26,0,11,2,1,0,0
2023,1359479,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,2,Cameron Green,2,0,30,1,4,2,3,0,0
